instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_21,nosbs-off,makespan,solved,21.99999999079897,21.9999999908,0.0,254.421875,75476,,17,18,185
synth_22,dfa,makespan,limit,26.99999999719998,23.0,14.8148,599.09375,7746,,18,19,211
synth_22,nosbs-auto,makespan,limit,26.99999906249996,25.0,7.4074,598.953125,100819,,18,19,211
synth_22,nosbs-off,makespan,limit,26.99999970870535,23.0,14.8148,598.96875,106451,,18,19,211
synth_23,dfa,makespan,limit,34.99999956183203,22.00000000004,37.1429,599.203125,6594,,21,22,280
synth_23,nosbs-auto,makespan,limit,34.99990000031277,22.0,37.1427,599.171875,76883,,21,22,280
synth_23,nosbs-off,makespan,limit,34.99999903485089,22.0,37.1429,599.09375,94893,,21,22,280
synth_24,dfa,makespan,limit,31.99999999273991,31.0,3.125,599.125,3887,,22,23,310
synth_24,nosbs-auto,makespan,limit,31.99999903125,31.0,3.125,599.125,31030,,22,23,310
synth_24,nosbs-off,makespan,limit,31.99999902564099,31.0,3.125,599.015625,37712,,22,23,310
synth_25,dfa,makespan,solved,32.0,32.0,0.0,2.609375,1,,19,20,229
synth_25,nosbs-auto,makespan,solved,32.0,31.99999999999,0.0,0.359375,1,,19,20,229
synth_25,nosbs-off,makespan,solved,32.0,31.99999999999,0.0,0.375,1,,19,20,229
synth_26,dfa,makespan,solved,32.9999999966,32.9999999966,0.0,4.03125,21,,17,18,183
synth_26,nosbs-auto,makespan,solved,33.0,33.0,0.0,0.265625,1,,17,18,183
synth_26,nosbs-off,makespan,solved,33.0,33.0,0.0,0.265625,1,,17,18,183
synth_27,dfa,makespan,limit,27.99999999709209,24.00000000001,14.285700000000002,599.015625,1684,,26,27,422
synth_27,nosbs-auto,makespan,limit,27.99999999709993,24.0,14.285700000000002,599.203125,12965,,26,27,422
synth_27,nosbs-off,makespan,limit,27.99999999709993,24.0,14.285700000000002,598.828125,15839,,26,27,422
synth_28,dfa,makespan,limit,30.99999999679978,22.00000000001,29.0323,599.296875,2452,,24,25,357
synth_28,nosbs-auto,makespan,solved,30.9999999968,30.9999999968,0.0,92.546875,3710,,24,25,357
synth_28,nosbs-off,makespan,solved,30.9999999968,30.9999999968,0.0,81.34375,4017,,24,25,357
synth_29,dfa,makespan,solved,28.0,27.99999999998,0.0,6.796875,1,,24,25,358
synth_29,nosbs-auto,makespan,solved,28.0,27.99999999999,0.0,0.984375,1,,24,25,358
synth_29,nosbs-off,makespan,solved,28.0,27.99999999999,0.0,1,1,,24,25,358
synth_30,dfa,makespan,limit,26.99999999719998,26.0,3.7037,599.125,3086,,23,24,332
synth_30,nosbs-auto,makespan,limit,26.99999904250192,26.0,3.7037,599.234375,25928,,23,24,332
synth_30,nosbs-off,makespan,limit,26.99999999719986,26.0,3.7037,599.203125,25708,,23,24,332
