instance_name,experiment,config,time_limit_seconds,status,obj,best_bound,gap_pct,milp_time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_10,FEAS,NOPSOS+DFA,300,infeasible,,,,4.1875,3791,25.5,11,12,83
synth_10,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,5.1875,5666,25.5,11,12,83
synth_10,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,5.1875,5666,25.5,11,12,83
synth_11,WCT,NOPSOS+DFA,300,solved,617.0,617.0,0.0,4.359375,1491,,11,12,83
synth_11,WCT,NOPSOS-noSBS-symON,300,solved,617.0,617.0,0.0,55.796875,100768,,11,12,83
synth_11,WCT,NOPSOS-noSBS-symOFF,300,solved,617.0,617.0,0.0,55.921875,100768,,11,12,83
synth_11,FEAS,NOPSOS+DFA,300,infeasible,,,,1.140625,588,19.5,11,12,83
synth_11,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,9.28125,10188,19.5,11,12,83
synth_11,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,9.390625,10188,19.5,11,12,83
synth_12,WCT,NOPSOS+DFA,300,limit,864.0,528.1125499563,38.8759,299.640625,7874,,16,17,169
synth_12,WCT,NOPSOS-noSBS-symON,300,limit,863.9999916297517,539.2013124595,37.5924,299.75,183805,,16,17,169
synth_12,WCT,NOPSOS-noSBS-symOFF,300,limit,863.9999992654724,495.0000000001,42.7083,299.71875,132523,,16,17,169
synth_12,FEAS,NOPSOS+DFA,300,limit,,,,299.65625,11414,32.5,16,17,169
synth_12,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.609375,109066,32.5,16,17,169
synth_12,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.59375,109105,32.5,16,17,169
synth_13,WCT,NOPSOS+DFA,300,solved,543.9999975000001,543.9999975,0.0,64.796875,7984,,14,15,129
synth_13,WCT,NOPSOS-noSBS-symON,300,limit,543.9999859617317,434.4076235411,20.1457,299.609375,313288,,14,15,129
synth_13,WCT,NOPSOS-noSBS-symOFF,300,limit,543.9999859617317,434.328,20.1603,299.546875,311954,,14,15,129
synth_13,FEAS,NOPSOS+DFA,300,infeasible,,,,0.25,1,23.5,14,15,129
synth_13,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.09375,1,23.5,14,15,129
synth_13,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.140625,1,23.5,14,15,129
synth_14,WCT,NOPSOS+DFA,300,limit,1021.0,724.5801117809,29.0323,299.59375,10953,,15,16,148
synth_14,WCT,NOPSOS-noSBS-symON,300,limit,1020.9999740104612,650.0000000051,36.3369,299.4375,203822,,15,16,148
synth_14,WCT,NOPSOS-noSBS-symOFF,300,limit,1020.9999740104612,650.0000000051,36.3369,299.515625,204009,,15,16,148
synth_14,FEAS,NOPSOS+DFA,300,infeasible,,,,34.40625,5703,21.5,15,16,148
synth_14,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.59375,136557,21.5,15,16,148
synth_14,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.59375,136594,21.5,15,16,148
synth_15,WCT,NOPSOS+DFA,300,limit,759.0,572.6638824876,24.5502,299.65625,10242,,15,16,150
synth_15,WCT,NOPSOS-noSBS-symON,300,limit,758.9999985,547.0,27.9315,299.625,167828,,15,16,150
synth_15,WCT,NOPSOS-noSBS-symOFF,300,limit,758.9999985,547.0,27.9315,299.40625,167837,,15,16,150
synth_16,WCT,NOPSOS+DFA,300,limit,934.0,671.1033864893,28.1474,299.4375,12645,,15,16,149
synth_16,WCT,NOPSOS-noSBS-symON,300,limit,934.0,585.0000000008,37.3662,299.609375,157081,,15,16,149
synth_16,WCT,NOPSOS-noSBS-symOFF,300,limit,934.0,585.0000000008,37.3662,299.5625,157041,,15,16,149
synth_16,FEAS,NOPSOS+DFA,300,infeasible,,,,25,5410,20.5,15,16,149
synth_16,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,12.40625,5127,20.5,15,16,149
synth_16,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,12.5625,5127,20.5,15,16,149
synth_17,WCT,NOPSOS+DFA,300,limit,543.0,450.9512114126,16.9519,299.515625,10740,,15,16,149
synth_17,WCT,NOPSOS-noSBS-symON,300,limit,542.9999993333333,430.2188671942,20.77,299.484375,220747,,15,16,149
synth_17,WCT,NOPSOS-noSBS-symOFF,300,limit,542.9999993333333,430.2188671942,20.77,299.53125,221176,,15,16,149
synth_17,FEAS,NOPSOS+DFA,300,infeasible,,,,19.03125,6476,23.5,15,16,149
synth_17,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.515625,156043,23.5,15,16,149
synth_17,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.546875,155775,23.5,15,16,149
synth_18,WCT,NOPSOS+DFA,300,solved,976.0,976.0,0.0,119.640625,14551,,14,15,129
synth_18,WCT,NOPSOS-noSBS-symON,300,limit,975.9992999999998,724.9258241112,25.7248,299.65625,287196,,14,15,129
synth_18,WCT,NOPSOS-noSBS-symOFF,300,limit,975.9992999999998,725.5,25.665900000000004,299.578125,289994,,14,15,129
synth_18,FEAS,NOPSOS+DFA,300,infeasible,,,,24.375,5659,22.5,14,15,129
synth_18,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.515625,169401,22.5,14,15,129
synth_18,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.578125,170175,22.5,14,15,129
synth_19,WCT,NOPSOS+DFA,300,limit,1184.0,847.1001495532,28.454400000000003,299.609375,11089,,15,16,150
synth_19,WCT,NOPSOS-noSBS-symON,300,limit,1171.9999870586457,748.5217391304,36.133,299.609375,181295,,15,16,150
