instance_name,formulation,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_constraints,obj_value,best_bound,gap,milp_time,nlp_time,total_time,n_nodes,status,n_variables,gap_pct
problem1_mouret,re,8,9,16,58,594,2178,14000.0,14000.0,0.0,0.2344,,0.2344,1,solved,1278,0.0
problem2_mouret,re,14,21,29,118,2772,20315,9612.95,10300.00000336,0.071471,598.9219,,598.9219,3834,limit,6300,7.147100000000001
problem3_mouret,re,14,21,29,118,2772,19853,10687.5,10687.5,0.0,7.0,,7.0,1,solved,6720,0.0
