instance_name,config,objective,seed,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_25,dfa,wct,0,limit,1237.0,835.000000001,32.498,595.890625,9094,835.0000000000002,835.0,,,19,20,229
synth_25,pairwise,wct,0,limit,1198.0,835.2739190446,30.2776,597.390625,19657,835.0000000000001,835.0,2718,,19,20,229
synth_25,nosbs-off,wct,0,limit,1197.9999918586761,835.4692082111,30.261299999999995,597.828125,154402,834.9999999999997,835.0,,,19,20,229
