instance_name,config,objective,seed,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_11,nosbs-off,wct,0,solved,616.9999522564087,616.9999522564,0.0,23.734375,46519,484.0,484.0,,,11,12,83
synth_11,nosbs-off,wct,1,solved,616.9999932317214,616.9999932317,0.0,31.859375,60315,484.0,484.0,,,11,12,83
synth_11,nosbs-off,wct,2,solved,616.9999874395546,616.9999874396,0.0,47.375,84257,484.0,484.0,,,11,12,83
synth_11,nosbs-off,wct,3,solved,617.0,617.0,0.0,45.75,82286,484.0,484.0,,,11,12,83
synth_11,nosbs-off,wct,4,solved,617.0,617.0,0.0,35.671875,73464,484.0,484.0,,,11,12,83
synth_08,dfa,wct,0,solved,614.0,614.0,0.0,117.21875,30752,405.0,405.0,,,12,13,104
synth_08,dfa,wct,1,solved,614.0,614.0,0.0,111.578125,29499,405.0,405.0,,,12,13,104
synth_08,dfa,wct,2,solved,614.0,614.0,0.0,95.59375,23316,405.0,405.0,,,12,13,104
synth_08,dfa,wct,3,limit,614.0,523.9432534678,14.6672,119.703125,35595,405.0,405.0,,,12,13,104
synth_08,dfa,wct,4,solved,613.9999967025863,613.9999967026,0.0,117.734375,33799,405.0,405.0,,,12,13,104
synth_08,pairwise,wct,0,solved,614.0,614.0,0.0,99.75,41188,405.0,405.0,572,,12,13,104
synth_08,pairwise,wct,1,solved,614.0,614.0,0.0,89.296875,39506,405.0,405.0,572,,12,13,104
synth_08,pairwise,wct,2,solved,614.0,614.0,0.0,90.375,38199,405.0,405.0,572,,12,13,104
synth_08,pairwise,wct,3,solved,614.0,614.0,0.0,92.109375,38029,405.0,405.0,572,,12,13,104
synth_08,pairwise,wct,4,solved,614.0,614.0,0.0,90.09375,42877,405.0,405.0,572,,12,13,104
synth_08,nosbs-off,wct,0,limit,613.9999844255876,428.0,30.2932,119.71875,112102,404.99999999999994,405.0,,,12,13,104
synth_08,nosbs-off,wct,1,limit,614.0,459.0,25.244299999999996,119.671875,112844,404.99999999999994,405.0,,,12,13,104
synth_08,nosbs-off,wct,2,limit,613.9999848307507,442.0,28.012999999999998,119.6875,120448,404.99999999999994,405.0,,,12,13,104
synth_08,nosbs-off,wct,3,limit,613.9999905000012,422.0377645594,31.2642,119.734375,110467,404.99999999999994,405.0,,,12,13,104
synth_08,nosbs-off,wct,4,limit,614.0,437.0,28.827400000000004,119.765625,115190,404.99999999999994,405.0,,,12,13,104
synth_09,dfa,wct,0,solved,804.0,804.0,0.0,40.359375,9577,570.0000000000001,570.0,,,12,13,99
synth_09,dfa,wct,1,solved,804.0,804.0,0.0,30.46875,5725,570.0000000000001,570.0,,,12,13,99
synth_09,dfa,wct,2,solved,804.0,804.0,0.0,28.6875,5732,570.0000000000001,570.0,,,12,13,99
synth_09,dfa,wct,3,solved,804.0,804.0,0.0,39.078125,8446,570.0000000000001,570.0,,,12,13,99
synth_09,dfa,wct,4,solved,804.0,804.0,0.0,35.046875,7931,570.0000000000001,570.0,,,12,13,99
synth_09,pairwise,wct,0,solved,804.0,804.0,0.0,23.359375,8667,570.0,570.0,627,,12,13,99
synth_09,pairwise,wct,1,solved,804.0,804.0,0.0,20.171875,6890,570.0,570.0,627,,12,13,99
synth_09,pairwise,wct,2,solved,804.0,804.0,0.0,21.3125,7665,570.0,570.0,627,,12,13,99
synth_09,pairwise,wct,3,solved,804.0,804.0,0.0,26.609375,10767,570.0,570.0,627,,12,13,99
synth_09,pairwise,wct,4,solved,804.0,804.0,0.0,23.359375,8940,570.0,570.0,627,,12,13,99
synth_09,nosbs-off,wct,0,limit,804.0,690.0,14.1791,119.796875,174106,570.0,570.0,,,12,13,99
synth_09,nosbs-off,wct,1,limit,804.0,690.0,14.1791,119.765625,168200,570.0,570.0,,,12,13,99
synth_09,nosbs-off,wct,2,limit,804.0,690.0,14.1791,119.65625,148738,570.0,570.0,,,12,13,99
synth_09,nosbs-off,wct,3,limit,804.0,690.0,14.1791,119.75,173168,570.0,570.0,,,12,13,99
synth_09,nosbs-off,wct,4,limit,804.0,690.0,14.1791,119.828125,184257,570.0,570.0,,,12,13,99
synth_13,dfa,wct,0,solved,544.0,544.0,0.0,71.328125,13060,427.0,427.0,,,14,15,129
synth_13,dfa,wct,1,solved,544.0,544.0,0.0,69.546875,12279,427.0,427.0,,,14,15,129
synth_13,dfa,wct,2,solved,543.9999966666664,543.9805688556,0.0036,98.09375,15367,427.0,427.0,,,14,15,129
