instance_name,formulation,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_constraints,obj_value,best_bound,gap,milp_time,nlp_time,total_time,n_nodes,status,n_variables,gap_pct
problem1_mouret,dfa,8,9,10,59,603,2042,14000.0,14000.0,0.0,0.2031,,0.2031,1,solved,1287,0.0
problem1_mouret,re,8,9,16,58,594,2090,14000.0,14000.0,0.0,0.2969,,0.2969,1,solved,1278,0.0
problem2_mouret,dfa,14,21,16,153,3507,18721,10300.0,10300.0,0.0,6.9062,,6.9062,1,solved,7035,0.0
problem2_mouret,re,14,21,29,118,2772,18981,9612.95,10300.00000336,0.071471,598.625,,598.625,3010,limit,6300,7.147100000000001
problem3_mouret,dfa,14,21,16,153,3507,18259,10687.5,10687.5,0.0,3.3594,,3.3594,1,solved,7455,0.0
problem3_mouret,re,14,21,29,118,2772,18519,10687.5,10687.5,0.0,7.7344,,7.7344,1,solved,6720,0.0
