instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,n_ops,n_dfa_states,n_dfa_arcs
jobshop_01,dfa,jobshop_makespan,solved,8.0,8.0,0.0,0.234375,53,1.142857142857144,1.25,,9,10,54
jobshop_01,pairwise,jobshop_makespan,solved,8.0,8.0,0.0,0.203125,1,1.142857142857143,1.166667,288,9,10,54
jobshop_02,dfa,jobshop_makespan,solved,14.0,14.0,0.0,0.40625,1,1.333333333333333,1.692308,,12,13,90
jobshop_02,pairwise,jobshop_makespan,solved,14.0,14.0,0.0,0.421875,275,1.333333333333333,1.666667,726,12,13,90
jobshop_03,dfa,jobshop_makespan,solved,11.99999999869999,11.9999999987,0.0,4.390625,2332,0.8000000000000002,0.8888889,,12,13,96
jobshop_03,pairwise,jobshop_makespan,solved,11.9999999987,11.9999999987,0.0,2.546875,2498,0.8,0.8888889,660,12,13,96
jobshop_04,dfa,jobshop_makespan,solved,14.99999999839999,14.9999999984,0.0,42.78125,2212,0.8461538461538463,0.9166667,,16,17,160
jobshop_04,pairwise,jobshop_makespan,solved,14.9999999984,14.9999999984,0.0,32.171875,3036,0.8461538461538461,0.9166667,1680,16,17,160
jobshop_05,dfa,jobshop_makespan,solved,15.9999999983,15.9999999983,0.0,1.28125,358,1.272727272727273,2.333333,,15,16,135
jobshop_05,pairwise,jobshop_makespan,solved,15.9999999983,15.9999999983,0.0,1.328125,771,1.272727272727273,1.555556,1470,15,16,135
jobshop_06,dfa,jobshop_makespan,solved,12.99999984927952,12.9999975007,0.0,130,9540,0.6153846153846152,0.6153846,,15,16,150
jobshop_06,pairwise,jobshop_makespan,solved,12.9999999985999,12.9999999986,0.0,111.5,13563,0.6153846153846155,0.6153846,1260,15,16,150
jobshop_07,dfa,jobshop_makespan,solved,18.99999999200251,18.999999992,0.0,296.75,6411,0.875,1.0,,20,21,240
jobshop_07,pairwise,jobshop_makespan,solved,18.99999999799999,18.999999998,0.0,168.59375,7657,0.875,0.9333333,3420,20,21,240
jobshop_08,dfa,jobshop_makespan,limit,16.9999999982,12.0,29.4118,598.640625,10202,0.7058823529411766,0.7058824,,20,21,250
jobshop_08,pairwise,jobshop_makespan,limit,16.9999999982,13.99999958997,17.6471,598.828125,10303,0.7058823529411771,0.7058824,3230,20,21,250
jobshop_09,dfa,jobshop_makespan,limit,17.99999999809999,13.0000000005,27.777799999999996,598.984375,2851,0.6190476190476195,0.65,,25,26,375
jobshop_09,pairwise,jobshop_makespan,limit,18.99999999797394,13.00000000008,31.578899999999997,598.78125,3729,0.6190476190476187,0.65,6600,25,26,375
jobshop_10,dfa,jobshop_makespan,limit,18.99999999799998,14.00000000175,26.3158,598.703125,4389,0.7368421052631579,0.7777778,,24,25,336
jobshop_10,pairwise,jobshop_makespan,limit,18.99999999799923,14.00000000001,26.3158,598.6875,3423,0.7368421052631579,0.7777778,6072,24,25,336
