instance_name,formulation,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_constraints,obj_value,best_bound,gap,milp_time,nlp_time,total_time,n_nodes,status,n_variables,gap_pct
problem1_mouret,dfa,8,9,10,67,675,2130,14000.0,14000.0,0.0,0.1094,,0.1094,1,solved,1359,0.0
problem1_mouret,pairwise,8,9,10,67,675,2095,14000.0,14000.0,0.0,0.0938,,0.0938,1,solved,1359,0.0
problem2_mouret,dfa,14,21,16,167,3801,20055,10300.0,10300.00000057,0.0,5.2031,,5.2031,1,solved,7329,0.0
problem2_mouret,pairwise,14,21,16,167,3801,20618,10300.0,10300.00000118,0.0,3.7344,,3.7344,15,solved,7329,0.0
problem3_mouret,dfa,14,21,16,167,3801,19593,10687.5,10687.5,0.0,3.2812,,3.2812,1,solved,7749,0.0
problem3_mouret,pairwise,14,21,16,167,3801,20156,10687.5,10687.5,0.0,1.5312,,1.5312,1,solved,7749,0.0
