instance_name,config,objective,status,obj,best_bound,gap_pct,time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_22,nosbs-auto,wct,limit,1418.0,938.0000000001,33.8505,598.703125,136439,,18,19,211
synth_22,nosbs-off,wct,limit,1418.0,938.0000000027,33.8505,598.96875,142575,,18,19,211
synth_23,dfa,wct,limit,1336.0,810.8811851826,39.3053,598.90625,780,,21,22,280
synth_23,nosbs-auto,wct,limit,1319.9999905000006,768.0000000082,41.8182,598.703125,63041,,21,22,280
synth_23,nosbs-off,wct,limit,1319.9999879999996,768.0,41.8182,598.9375,72974,,21,22,280
synth_24,dfa,wct,limit,2120.0,1394.307647278,34.2308,598.75,942,,22,23,310
synth_24,nosbs-auto,wct,limit,2092.0,1365.0,34.7514,598.78125,40808,,22,23,310
synth_24,nosbs-off,wct,limit,2097.9999777142775,1365.0,34.938,598.59375,51173,,22,23,310
synth_25,dfa,wct,limit,1247.0,876.5251050005,29.7093,598.984375,1994,,19,20,229
synth_25,nosbs-auto,wct,limit,1197.9999901198994,835.0,30.300499999999996,599.078125,132765,,19,20,229
synth_25,nosbs-off,wct,limit,1197.9999918586761,835.0000000091,30.300499999999996,598.859375,137727,,19,20,229
synth_26,dfa,wct,limit,1322.0,1088.249177869,17.6816,599.71875,10248,,17,18,183
synth_26,nosbs-auto,wct,limit,1321.9999759750126,963.0000000029,27.155799999999996,599.015625,194781,,17,18,183
synth_26,nosbs-off,wct,limit,1321.9999711411197,963.0000000021,27.155799999999996,598.171875,194128,,17,18,183
synth_27,dfa,wct,limit,1634.0,1036.000000002,36.5973,599.03125,592,,26,27,422
synth_27,nosbs-auto,wct,limit,1564.9999950783,1036.0,33.8019,598.828125,22081,,26,27,422
synth_27,nosbs-off,wct,limit,1567.999986,1036.0,33.9286,598.65625,26495,,26,27,422
synth_28,dfa,wct,limit,1693.0,1039.521638515,38.5988,598.84375,704,,24,25,357
synth_28,nosbs-auto,wct,limit,1679.9998817937658,980.0,41.6667,598.8125,49314,,24,25,357
synth_28,nosbs-off,wct,limit,1679.0,980.0,41.6319,599.015625,48338,,24,25,357
synth_29,dfa,wct,limit,1034.0,765.0588235381,26.0098,598.796875,658,,24,25,358
synth_29,nosbs-auto,wct,limit,1033.9999087055878,750.0,27.466099999999997,598.796875,40211,,24,25,358
synth_29,nosbs-off,wct,limit,1033.9999865000077,750.0,27.466099999999997,598.984375,48019,,24,25,358
synth_30,dfa,wct,limit,1906.0,1163.674028425,38.9468,598.96875,755,,23,24,332
synth_30,nosbs-auto,wct,limit,1738.992543622852,1143.0,34.2723,598.640625,60125,,23,24,332
synth_30,nosbs-off,wct,limit,1738.9999944902997,1143.000000001,34.2726,598.8125,52866,,23,24,332
